trials.thisN,,num_distr,mouse.time,,,,,,,num_distr,mouse.time,mouse.clicked_name,,
0,,5,1.5,,,,,,,5,1.5,['target'],,
1,,10,1.5367754,,,,,,,10,1.5367754,['target'],,
2,,10,2.5678937,,,,,,,10,2.5678937,['target'],,
3,,10,1.1507817,,,,,,,10,1.1507817,['target'],,
4,,5,1.11205,,,,,,,5,1.11205,['target'],,
5,,5,1.0618536,,,,,,,5,1.0618536,['target'],,
6,,10,1.2506694,,,,,,,10,1.2506694,['target'],,
7,,10,1.3787363,,,,,,,10,1.3787363,['target'],,
8,,10,1.0074393,,,,,,,10,1.0074393,['target'],,
9,,5,1.0382209,,,,,,,5,1.0382209,['target'],,
10,,10,1.2358741,,,,,,,10,1.2358741,['target'],,
11,,5,1.2781751,,,,,,,5,1.2781751,['target'],,
12,,10,1.1684885,,,,,,,10,1.1684885,['target'],,
13,,10,0.6150405,,,,,,,10,0.6150405,['target'],,
14,,5,1.1201608,,,,,,,5,1.1201608,['target'],,
15,,10,0.9200192,,,,,,,10,0.9200192,['target'],,
16,,5,1.3372986,,,,,,,5,1.3372986,['target'],,
17,,10,1.0283177,,,,,,,10,1.0283177,['target'],,
18,,5,1.5659481,,,,,,,5,1.5659481,['target'],,
19,,10,1.4299802,,,,,,,10,1.4299802,['target'],,
20,,5,1.2637851,,,,,,,5,1.2637851,['target'],,
21,,5,1.1204682,,,,,,,5,1.1204682,['target'],,
22,,5,0.7822673,,,,,,,5,0.7822673,['target'],,
23,,10,2.3896268,,,,,,,10,2.3896268,[],,
24,,10,0.9816314,,,,,,,10,0.9816314,[],,
25,,5,0.8991162,,,,,,,5,0.8991162,['target'],,
26,,10,0.8367426,,,,,,,10,0.8367426,['target'],,
27,,10,1.4830366,,,,,,,10,1.4830366,['target'],,
28,,5,0.8139852,,,,,,,5,0.8139852,['target'],,
29,,10,1.3289162,,,,,,,10,1.3289162,['target'],,
30,,5,1.4384551,,,,,,,5,1.4384551,[],,
31,,5,1.1596142,,,,,,,5,1.1596142,['target'],,
32,,5,1.2017725,,,,,,,5,1.2017725,['target'],,
33,,5,0.8678293,,,,,,,5,0.8678293,[],,
34,,5,0.922617,,,,,,,5,0.922617,['target'],,
35,,10,0.954478,,,,,,,10,0.954478,['target'],,
36,,5,0.8879348,,,,,,,5,0.8879348,[],,
37,,5,0.6927787,,,,,,,5,0.6927787,['target'],,
38,,10,0.9587986,,,,,,,10,0.9587986,[],,
39,,10,1.410109,,,,,,,10,1.410109,[],,
40,,10,1.8801022,,,,,,,10,1.8801022,[],,
41,,10,1.3478121,,,,,,,10,1.3478121,[],,
42,,10,1.4004519,,,,,,,10,1.4004519,['target'],,
43,,5,0.8498125,,,,,,,5,0.8498125,[],,
44,,5,1.2778128,,,,,,,5,1.2778128,['target'],,
45,,5,1.0738488,,,,,,,5,1.0738488,['target'],,
46,,10,2.1811413,,,,,,,10,2.1811413,['target'],,
47,,10,0.8747894,,,,,,,10,0.8747894,['target'],,
48,,10,0.8053522,,,,,,,10,0.8053522,['target'],,
49,,5,0.8002984,,,,,,,5,0.8002984,['target'],,
50,,5,1.2119794,,,,,,,5,1.2119794,[],,
51,,5,1.141691,,,,,,,5,1.141691,['target'],,
52,,5,0.9153918,,,,,,,5,0.9153918,[],,
53,,5,0.9408171,,,,,,,5,0.9408171,['target'],,
54,,10,0.9682096,,,,,,,10,0.9682096,['target'],,
55,,10,1.139397,,,,,,,10,1.139397,['target'],,
56,,5,1.0169096,,,,,,,5,1.0169096,[],,
57,,5,1.3313662,,,,,,,5,1.3313662,[],,
58,,5,1.2302382,,,,,,,5,1.2302382,[],,
59,,10,0.7994159,,,,,,,10,0.7994159,[],,
60,,10,1.055338,,,,,,,10,1.055338,[],,
61,,10,1.1788588,,,,,,,10,1.1788588,['target'],,
62,,10,2.0453044,,,,,,,10,2.0453044,[],,
63,,5,1.2307087,,,,,,,5,1.2307087,[],,
64,,10,2.202113,,,,,,,10,2.202113,['target'],,
65,,10,0.8622321,,,,,,,10,0.8622321,[],,
66,,10,1.7165098,,,,,,,10,1.7165098,['target'],,
67,,5,0.8393555,,,,,,,5,0.8393555,['target'],,
68,,10,0.8457687,,,,,,,10,0.8457687,['target'],,
69,,10,0.9207359,,,,,,,10,0.9207359,[],,
70,,10,1.7575635,,,,,,,10,1.7575635,['target'],,
71,,10,1.4784735,,,,,,,10,1.4784735,['target'],,
72,,5,1.1692943,,,,,,,5,1.1692943,[],,
73,,10,3.2934687,,,,,,,10,3.2934687,[],,
74,,10,1.7944692,,,,,,,10,1.7944692,[],,
75,,10,1.0049334,,,,,,,10,1.0049334,['target'],,
76,,5,1.1614763,,,,,,,5,1.1614763,['target'],,
77,,10,1.2053142,,,,,,,10,1.2053142,[],,
78,,10,1.1436542,,,,,,,10,1.1436542,['target'],,
79,,5,1.0745977,,,,,,,5,1.0745977,['target'],,
80,,5,1.3332294,,,,,,,5,1.3332294,[],,
81,,10,1.515484,,,,,,,10,1.515484,['target'],,
82,,10,1.2224761,,,,,,,10,1.2224761,['target'],,
83,,5,0.8696548,,,,,,,5,0.8696548,['target'],,
84,,5,0.9448429,,,,,,,5,0.9448429,[],,
85,,5,0.9130911,,,,,,,5,0.9130911,['target'],,
86,,10,2.1212504,,,,,,,10,2.1212504,[],,
87,,10,2.2052428,,,,,,,10,2.2052428,['target'],,
88,,5,1.0597139,,,,,,,5,1.0597139,['target'],,
89,,5,1.1356464,,,,,,,5,1.1356464,[],,
90,,5,1.0347685,,,,,,,5,1.0347685,['target'],,
91,,10,1.6138205,,,,,,,10,1.6138205,[],,
92,,10,1.0545076,,,,,,,10,1.0545076,['target'],,
93,,5,1.0510344,,,,,,,5,1.0510344,['target'],,
94,,5,1.4021789,,,,,,,5,1.4021789,['target'],,
95,,5,1.3616747,,,,,,,5,1.3616747,['target'],,
96,,5,1.0286072,,,,,,,5,1.0286072,[],,
97,,5,0.9204609,,,,,,,5,0.9204609,['target'],,
98,,10,1.254957,,,,,,,10,1.254957,['target'],,
99,,5,1.2279703,,,,,,,5,1.2279703,['target'],,
100,,10,1.3749893,,,,,,,10,1.3749893,['target'],,
101,,10,1.3273793,,,,,,,10,1.3273793,['target'],,
102,,10,0.9384117,,,,,,,10,0.9384117,['target'],,
103,,10,1.667587,,,,,,,10,1.667587,[],,
104,,10,1.0583119,,,,,,,10,1.0583119,['target'],,
105,,10,1.1262805,,,,,,,10,1.1262805,[],,
106,,5,1.2418223,,,,,,,5,1.2418223,['target'],,
107,,10,0.8521698,,,,,,,10,0.8521698,[],,
108,,10,1.565403,,,,,,,10,1.565403,[],,
109,,5,0.8990007,,,,,,,5,0.8990007,[],,
110,,10,0.9311114,,,,,,,10,0.9311114,[],,
111,,5,1.4257841,,,,,,,5,1.4257841,['target'],,
112,,10,1.0745949,,,,,,,10,1.0745949,['target'],,
113,,10,1.1196921,,,,,,,10,1.1196921,[],,
114,,10,1.0191384,,,,,,,10,1.0191384,[],,
115,,5,0.8996538,,,,,,,5,0.8996538,[],,
116,,5,0.7571073,,,,,,,5,0.7571073,['target'],,
117,,10,0.8745576,,,,,,,10,0.8745576,[],,
118,,5,0.7215807,,,,,,,5,0.7215807,[],,
119,,5,0.879855,,,,,,,5,0.879855,[],,
120,,5,0.9209323,,,,,,,5,0.9209323,[],,
121,,10,0.6565495,,,,,,,10,0.6565495,[],,
122,,10,0.8952904,,,,,,,10,0.8952904,['target'],,
123,,10,1.0198041,,,,,,,10,1.0198041,[],,
124,,5,0.8303429,,,,,,,5,0.8303429,[],,
125,,10,1.1537736,,,,,,,10,1.1537736,['target'],,
126,,10,2.7646564,,,,,,,10,2.7646564,['target'],,
127,,10,1.2048821,,,,,,,10,1.2048821,['target'],,
128,,5,1.081015,,,,,,,5,1.081015,['target'],,
129,,5,0.7968536,,,,,,,5,0.7968536,[],,
130,,5,1.170672,,,,,,,5,1.170672,[],,
131,,10,1.2051002,,,,,,,10,1.2051002,['target'],,
132,,5,1.208195,,,,,,,5,1.208195,['target'],,
133,,5,0.7037554,,,,,,,5,0.7037554,['target'],,
134,,10,1.2218344,,,,,,,10,1.2218344,['target'],,
135,,10,0.9691075,,,,,,,10,0.9691075,['target'],,
136,,10,0.981814,,,,,,,10,0.981814,[],,
137,,5,0.8672319,,,,,,,5,0.8672319,['target'],,
138,,5,1.227755,,,,,,,5,1.227755,['target'],,
139,,5,1.3034182,,,,,,,5,1.3034182,['target'],,
140,,5,1.0222111,,,,,,,5,1.0222111,['target'],,
141,,10,1.2420497,,,,,,,10,1.2420497,['target'],,
142,,10,0.7962267,,,,,,,10,0.7962267,['target'],,
143,,5,1.2378833,,,,,,,5,1.2378833,['target'],,
144,,5,1.1933551,,,,,,,5,1.1933551,['target'],,
145,,5,1.0566519,,,,,,,5,1.0566519,['target'],,
146,,10,1.3723581,,,,,,,10,1.3723581,[],,
147,,10,0.9651843,,,,,,,10,0.9651843,[],,
148,,5,1.235742,,,,,,,5,1.235742,['target'],,
149,,10,1.4526995,,,,,,,10,1.4526995,['target'],,
150,,10,1.0280903,,,,,,,10,1.0280903,['target'],,
151,,5,1.3669538,,,,,,,5,1.3669538,[],,
152,,5,1.2352652,,,,,,,5,1.2352652,['target'],,
153,,10,1.8481766,,,,,,,10,1.8481766,['target'],,
154,,10,3.2708661,,,,,,,10,3.2708661,[],,
155,,10,1.7052047,,,,,,,10,1.7052047,[],,
156,,5,0.9746696,,,,,,,5,0.9746696,[],,
157,,10,0.7273278,,,,,,,10,0.7273278,['target'],,
158,,5,1.2973836,,,,,,,5,1.2973836,[],,
159,,10,1.2205263,,,,,,,10,1.2205263,['target'],,
160,,5,0.9562419,,,,,,,5,0.9562419,['target'],,
161,,5,1.1662945,,,,,,,5,1.1662945,[],,
162,,5,0.8735706,,,,,,,5,0.8735706,[],,
163,,5,0.6618458,,,,,,,5,0.6618458,[],,
164,,10,0.8843704,,,,,,,10,0.8843704,['target'],,
165,,5,0.7820971,,,,,,,5,0.7820971,[],,
166,,10,0.6774442,,,,,,,10,0.6774442,[],,
167,,5,0.6521862,,,,,,,5,0.6521862,[],,
168,,10,1.0866562,,,,,,,10,1.0866562,[],,
169,,5,0.9198076,,,,,,,5,0.9198076,[],,
170,,10,0.9422761,,,,,,,10,0.9422761,[],,
171,,5,0.6845857,,,,,,,5,0.6845857,['target'],,Mean RT= 1.12400708371037
172,,5,0.5613939,,,,,,,5,0.5613939,[],,Mean set 5= 1.123316311
173,,5,0.6485943,,,,,,,5,0.6485943,[],,Mean set 10= 1.12237836957219
174,,5,1.0023813,,,,,,,5,1.0023813,[],,
175,,10,1.3209752,,,,,,,10,1.3209752,['target'],,
176,,10,0.6549732,,,,,,,10,0.6549732,[],,
177,,5,0.6493984,,,,,,,5,0.6493984,[],,
178,,5,0.6055957,,,,,,,5,0.6055957,[],,
179,,10,1.5465579,,,,,,,10,1.5465579,[],,
180,,10,1.7048671,,,,,,,10,1.7048671,['target'],,
181,,5,0.7514043,,,,,,,5,0.7514043,[],,
182,,10,1.8827577,,,,,,,10,1.8827577,[],,
183,,10,0.7537222,,,,,,,10,0.7537222,[],,
184,,10,1.7114742,,,,,,,10,1.7114742,['target'],,
185,,5,1.6073422,,,,,,,5,1.6073422,[],,
186,,10,1.6772147,,,,,,,10,1.6772147,[],,
187,,5,1.55846,,,,,,,5,1.55846,[],,
188,,10,0.6937999,,,,,,,10,0.6937999,['target'],,
189,,5,0.8202651,,,,,,,5,0.8202651,[],,
190,,10,1.5831207,,,,,,,10,1.5831207,[],,
191,,10,1.610183,,,,,,,10,1.610183,[],,
192,,5,0.8563266,,,,,,,5,0.8563266,[],,
193,,5,1.3097163,,,,,,,5,1.3097163,['target'],,
194,,10,1.3237503,,,,,,,10,1.3237503,[],,
195,,10,1.0995878,,,,,,,10,1.0995878,['target'],,
196,,10,0.8147298,,,,,,,10,0.8147298,[],,
197,,10,1.3212401,,,,,,,10,1.3212401,[],mean rt= 1.124007084,
198,,5,0.9631919,,1.123316311,,,,,5,0.9631919,['target'],1.124007084,
199,,10,1.2702778,,,,,,,10,1.2702778,[],,
